Round,Date,Team 1,FT,HT,Team 2
?,(Wed) 5 Oct 2016 (W40),Atlético PR (29),3-1,?,Chapecoense (29)
?,(Wed) 5 Oct 2016 (W40),EC Vitória (29),0-1,?,Grêmio RS (29)
?,(Thu) 6 Oct 2016 (W40),Corinthians SP (29),0-0,?,Atlético MG (29)
?,(Thu) 6 Oct 2016 (W40),Santos SP (29),2-1,?,Fluminense RJ (29)
?,(Thu) 6 Oct 2016 (W40),Sport Recife (29),1-1,?,São Paulo FC (29)
?,(Thu) 6 Oct 2016 (W40),Internacional Porto Alegre (29),1-0,?,Coritiba PR (29)
?,(Sun) 9 Oct 2016 (W40),Cruzeiro MG (29),2-0,?,Ponte Preta (29)
?,(Sun) 9 Oct 2016 (W40),América MG (29),0-2,?,Palmeiras SP (29)
?,(Sun) 9 Oct 2016 (W40),Figueirense (29),0-1,?,Botafogo RJ (29)
?,(Sun) 9 Oct 2016 (W40),Flamengo RJ (29),3-0,?,Santa Cruz (29)
?,(Wed) 12 Oct 2016 (W41),Chapecoense (30),3-0,?,Sport Recife (30)
?,(Wed) 12 Oct 2016 (W41),Coritiba PR (30),0-0,?,Figueirense (30)
